"name","geo_place_name","geo_type_name","start_date","data_value"
"Ozone (O3)","High Bridge - Morrisania","UHF42","2018-06-01","29.7"
"Ozone (O3)","Bensonhurst - Bay Ridge","UHF42","2018-06-01","30.9"
"Ozone (O3)","Borough Park","UHF42","2018-06-01","30.4"
"Ozone (O3)","Mott Haven and Melrose (CD1)","CD","2018-06-01","29.7"
"Ozone (O3)","Coney Island - Sheepshead Bay","UHF42","2009-06-01","29.6"
"Ozone (O3)","Morningside Heights and Hamilton Heights (CD9)","CD","2015-06-01","28.8"
"Ozone (O3)","East Harlem (CD11)","CD","2015-06-01","29.6"
"Ozone (O3)","Kew Gardens and Woodhaven (CD9)","CD","2019-06-01","32.4"
"Ozone (O3)","East Harlem (CD11)","CD","2019-06-01","27.5"
"Ozone (O3)","Coney Island - Sheepshead Bay","UHF34","2010-06-01","36.5"
"Ozone (O3)","Rockaways","UHF34","2011-06-01","39"
"Ozone (O3)","West Queens","UHF42","2017-06-01","29.4"
"Ozone (O3)","Long Island City - Astoria","UHF42","2009-06-01","27.6"
"Ozone (O3)","Long Island City - Astoria","UHF42","2017-06-01","29.1"
"Ozone (O3)","Jamaica and Hollis (CD12)","CD","2009-06-01","27.9"
"Ozone (O3)","Jamaica and Hollis (CD12)","CD","2018-06-01","31.5"
"Ozone (O3)","Jamaica and Hollis (CD12)","CD","2017-06-01","31.1"
"Ozone (O3)","Williamsbridge and Baychester (CD12)","CD","2018-06-01","31.1"
"Ozone (O3)","Kingsbridge - Riverdale","UHF42","2009-06-01","23.7"
"Ozone (O3)","Washington Heights","UHF42","2009-06-01","21.8"
"Ozone (O3)","Washington Heights","UHF42","2022-06-01","29.9"
"Ozone (O3)","Greenpoint","UHF42","2022-06-01","32.4"
"Ozone (O3)","Upper East Side (CD8)","CD","2017-06-01","25.2"
"Ozone (O3)","Williamsbridge and Baychester (CD12)","CD","2009-06-01","28.6"
"Ozone (O3)","Williamsbridge and Baychester (CD12)","CD","2017-06-01","28.9"
"Ozone (O3)","Bay Ridge and Dyker Heights (CD10)","CD","2020-06-01","29.2"
"Ozone (O3)","Washington Heights and Inwood (CD12)","CD","2009-06-01","25.9"
"Ozone (O3)","Washington Heights and Inwood (CD12)","CD","2017-06-01","27"
"Ozone (O3)","Upper East Side (CD8)","CD","2009-06-01","22.9"
"Ozone (O3)","Central Harlem (CD10)","CD","2009-06-01","25.4"
"Ozone (O3)","Central Harlem (CD10)","CD","2018-06-01","28.6"
"Ozone (O3)","Staten Island","Borough","2018-06-01","29.8"
"Ozone (O3)","Bayside - Little Neck","UHF42","2020-06-01","30.5"
"Ozone (O3)","Pelham - Throgs Neck","UHF42","2009-06-01","28.7"
"Ozone (O3)","Rockaway and Broad Channel (CD14)","CD","2009-06-01","30.6"
"Ozone (O3)","Williamsburg - Bushwick","UHF42","2009-06-01","24.8"
"Ozone (O3)","Upper West Side","UHF42","2022-06-01","29.9"
"Ozone (O3)","Highbridge and Concourse (CD4)","CD","2015-06-01","29.7"
"Ozone (O3)","Highbridge and Concourse (CD4)","CD","2019-06-01","28.5"
"Ozone (O3)","Crotona -Tremont","UHF42","2020-06-01","30.2"
